age,sex,studytime,schoolsup,famsup,paid,Fedu,Medu,failures,absences,higher,internet,avg_grade
17,F,2,no,yes,no,1,1,0,2,yes,yes,10.0
15,F,2,yes,no,no,1,1,0,6,yes,yes,12.0
15,F,3,no,yes,no,2,4,0,0,yes,yes,14.0
16,F,2,no,yes,no,3,3,0,0,yes,no,12.0
16,M,2,no,yes,no,3,4,0,6,yes,yes,12.0
16,M,2,no,no,no,2,2,0,0,yes,yes,13.0
17,F,2,yes,yes,no,4,4,0,2,yes,no,12.0
15,M,2,no,yes,no,2,3,0,0,yes,yes,16.0
15,M,2,no,yes,no,4,3,0,0,yes,yes,12.0
15,F,2,no,yes,no,4,4,0,2,yes,yes,14.0
15,F,3,no,yes,no,1,2,0,0,yes,yes,12.0
15,M,1,no,yes,no,4,4,0,0,yes,yes,12.0
15,M,2,no,yes,no,3,4,0,0,yes,yes,12.0
15,M,3,no,yes,no,2,2,0,0,yes,yes,14.0
16,F,1,no,yes,no,4,4,0,6,yes,yes,17.0
16,F,3,no,yes,no,4,4,0,10,yes,yes,13.0
16,F,2,yes,yes,no,3,3,0,2,yes,no,14.0
17,M,1,no,yes,yes,2,3,3,2,yes,yes,8.0
16,M,1,no,no,no,3,4,0,6,yes,yes,12.0
15,M,2,no,no,no,3,4,0,0,yes,yes,13.0
15,M,1,no,yes,yes,4,4,0,0,yes,yes,12.0
16,M,2,no,no,no,2,4,0,0,yes,yes,13.0
16,M,2,no,yes,no,2,2,0,2,yes,yes,10.0
15,F,3,yes,yes,no,4,2,0,2,yes,yes,10.0
16,F,1,no,yes,no,2,2,0,6,yes,yes,11.0
15,M,1,no,yes,no,2,2,0,8,yes,yes,12.0
15,M,1,no,no,no,2,4,0,0,yes,yes,11.0
16,M,2,yes,yes,yes,4,3,0,2,yes,yes,12.0
16,M,2,no,yes,yes,4,4,0,4,yes,yes,12.0
15,M,2,no,yes,yes,4,4,0,0,yes,yes,11.0
15,M,2,no,yes,no,4,4,0,2,yes,yes,15.0
15,M,2,no,yes,no,3,4,0,0,yes,yes,14.0
15,M,2,no,no,no,3,3,0,0,yes,yes,12.0
16,M,1,no,yes,no,2,3,0,4,yes,yes,12.0
15,F,1,no,yes,no,3,2,0,4,yes,no,11.0
15,M,3,no,yes,no,3,4,0,0,yes,yes,14.0
16,M,3,no,yes,no,4,4,0,4,yes,yes,13.0
15,F,3,yes,yes,no,4,3,0,2,yes,yes,12.0
15,F,1,yes,yes,no,2,2,0,8,yes,no,13.0
16,F,2,no,yes,no,2,2,0,16,yes,yes,11.0
15,M,1,no,yes,no,4,4,0,8,yes,yes,11.0
15,M,2,no,yes,no,4,4,0,0,yes,yes,15.0
15,M,1,yes,yes,no,2,2,0,0,yes,yes,10.0
16,F,2,yes,no,no,2,2,1,14,yes,yes,11.0
15,F,2,yes,yes,yes,3,4,0,4,yes,yes,11.0
16,F,2,no,yes,no,3,3,0,6,yes,yes,13.0
16,M,4,no,no,no,3,4,0,2,yes,yes,17.0
15,M,2,no,yes,no,2,4,0,4,yes,no,12.0
15,F,2,yes,yes,no,4,4,0,2,yes,yes,12.0
16,F,2,no,yes,no,2,2,0,0,yes,yes,13.0
